rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,0.043564356,0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
2,full_grid,0.043564356,-0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
3,full_grid,-0.043564356,-0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
4,full_grid,-0.043564356,0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
5,full_grid,0.015346535,0.043564356,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
6,full_grid,-0.015346535,0.043564356,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
7,full_grid,0.015346535,-0.043564356,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
8,full_grid,-0.015346535,-0.043564356,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
9,full_grid,-0.044059406,-0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
10,full_grid,-0.026732673,0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
11,full_grid,-0.026732673,-0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
12,full_grid,0.044059406,-0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
13,full_grid,-0.044059406,0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
14,full_grid,0.026732673,0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
15,full_grid,0.026732673,-0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
16,full_grid,0.044059406,0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
17,full_grid,-0.045544554,-0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649478e-11,6.522564680e-04
18,full_grid,0.045544554,-0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649478e-11,6.522564681e-04
19,full_grid,0.013861386,0.045544554,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
20,full_grid,0.045544554,0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
21,full_grid,-0.045544554,0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
22,full_grid,0.013861386,-0.045544554,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
23,full_grid,-0.013861386,-0.045544554,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
24,full_grid,-0.013861386,0.045544554,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
25,full_grid,-0.013366337,-0.013366337,0.042351485,2.317006304e+02,5.787876125e-02,4.003206451e+03,5761,-4.047480849e-08,8.779499771e-07,2.039338945e-09,3.254556234e-03
26,full_grid,0.013366337,-0.013366337,0.042351485,2.317006304e+02,5.787876125e-02,4.003206451e+03,5761,-4.047480849e-08,8.779499771e-07,2.039338945e-09,3.254556234e-03
27,full_grid,0.013366337,0.013366337,0.042351485,2.317006304e+02,5.787876125e-02,4.003206451e+03,5761,-4.047480849e-08,8.779499771e-07,2.039338945e-09,3.254556234e-03
28,full_grid,-0.013366337,0.013366337,0.042351485,2.317006304e+02,5.787876125e-02,4.003206451e+03,5761,-4.047480849e-08,8.779499771e-07,2.039338945e-09,3.254556234e-03
29,full_grid,-0.022772277,0.000000000,0.042563861,6.700977802e+02,5.982924560e-02,1.120017098e+04,5616,-3.747943799e-07,3.208731421e-05,1.367699356e-08,3.132271733e-02
30,full_grid,0.000000000,-0.022772277,0.042563861,6.700977802e+02,5.982924560e-02,1.120017098e+04,5616,-3.747943799e-07,3.208731421e-05,1.367699356e-08,3.132271733e-02
31,full_grid,0.000000000,0.022772277,0.042563861,6.700977802e+02,5.982924560e-02,1.120017098e+04,5616,-3.747943799e-07,3.208731421e-05,1.367699356e-08,3.132271733e-02
32,full_grid,0.022772277,0.000000000,0.042563861,6.700977802e+02,5.982924560e-02,1.120017098e+04,5616,-3.747943799e-07,3.208731421e-05,1.367699356e-08,3.132271733e-02
33,full_grid,-0.012376238,0.000000000,0.042351485,1.110928493e+03,6.627810635e-02,1.676162091e+04,5761,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02
34,full_grid,0.000000000,-0.012376238,0.042351485,1.110928493e+03,6.627810635e-02,1.676162091e+04,5761,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02
35,full_grid,0.012376238,0.000000000,0.042351485,1.110928493e+03,6.627810635e-02,1.676162091e+04,5761,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02
36,full_grid,0.000000000,0.012376238,0.042351485,1.110928493e+03,6.627810635e-02,1.676162091e+04,5761,-7.303860105e-07,1.082323618e-04,2.696603207e-08,5.501609863e-02
37,full_grid,0.000000000,0.000000000,0.042563861,5.109518021e+03,6.919928791e-02,7.383772544e+04,5616,-1.576775706e-05,2.372045022e-03,6.872995383e-07,1.402228518e+00
38,full_grid,0.013861386,0.000000000,0.018990099,1.215933100e+03,7.203800309e-02,1.687905061e+04,6353,-7.784294490e-07,5.604086953e-05,7.550838220e-09,1.540522014e-02
39,full_grid,0.000000000,0.013861386,0.018990099,1.215933100e+03,7.203800309e-02,1.687905061e+04,6353,-7.784294490e-07,5.604086953e-05,7.550838220e-09,1.540522014e-02
40,full_grid,-0.013861386,0.000000000,0.018990099,1.215933100e+03,7.203800309e-02,1.687905061e+04,6353,-7.784294490e-07,5.604086953e-05,7.550838220e-09,1.540522014e-02
41,full_grid,0.000000000,-0.013861386,0.018990099,1.215933100e+03,7.203800309e-02,1.687905061e+04,6353,-7.784294490e-07,5.604086953e-05,7.550838220e-09,1.540522014e-02
42,full_grid,-0.014356436,-0.000495050,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,0.000000000e+00,1.009613611e-02
43,full_grid,0.014356436,-0.000495050,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,-7.411538288e-22,1.009613611e-02
44,full_grid,-0.014356436,0.000495050,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,0.000000000e+00,1.009613611e-02
45,full_grid,0.014356436,0.000495050,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,7.411538288e-22,1.009613611e-02
46,full_grid,-0.000495050,0.014356436,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,5.293955920e-22,1.009613611e-02
47,full_grid,0.000495050,-0.014356436,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,0.000000000e+00,1.009613611e-02
48,full_grid,-0.000495050,-0.014356436,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,0.000000000e+00,1.009613611e-02
49,full_grid,0.000495050,0.014356436,0.023874752,1.210040933e+03,7.660066407e-02,1.579674207e+04,6353,-6.785586045e-07,3.452492073e-05,-5.293955920e-22,1.009613611e-02
50,full_grid,-0.013366337,0.002475248,0.018990099,1.310889035e+03,7.821117784e-02,1.676089111e+04,6353,-7.667632107e-07,2.534440871e-05,-2.990389397e-10,6.109480513e-03
51,full_grid,-0.013366337,-0.002475248,0.018990099,1.310889035e+03,7.821117784e-02,1.676089111e+04,6353,-7.667632107e-07,2.534440871e-05,-2.990389397e-10,6.109480513e-03
52,full_grid,-0.002475248,-0.013366337,0.018990099,1.310889035e+03,7.821117784e-02,1.676089111e+04,6353,-7.667632107e-07,2.534440871e-05,-2.990389397e-10,6.109480513e-03
