rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
1,0.000000000e+00,0.000000000e+00,4.256386139e-02,5.109518021e+03,6.919928791e-02,-1.576775706e-05,2.372045022e-03,6.872995383e-07,1.402228518e+00,0.000000000e+00,0.000000000e+00,4.264961139e-02,8.575000000e-05,2.335991608e+03,4.534116905e-02,5.152032152e+04,1030301,-1.598866430e-05,1.790314352e-04,7.547556369e-02,1.856530439e-09,6.263869471e+00,True,True,False,-3.674056705e-16,1.052703588e-15,4.701508076e-06,4.701508076e-06,-3.674056705e-16,1.052703588e-15,4.265431289e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
2,0.000000000e+00,0.000000000e+00,3.789158416e-02,6.395255839e+03,8.843929422e-02,-1.463612177e-05,1.712908827e-03,6.387030535e-07,1.303081861e+00,0.000000000e+00,2.143750000e-05,3.795589666e-02,6.779132734e-05,6.033167635e+03,1.234897720e-01,4.885560591e+04,1030301,-1.480029241e-05,1.425897030e-04,8.324418714e-02,2.371692252e-20,1.752328783e+01,True,True,False,-2.531036022e-16,7.991425458e-06,1.354744646e-06,8.105443473e-06,-2.531036022e-16,2.942892546e-05,3.795725140e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
3,0.000000000e+00,0.000000000e+00,3.321930693e-02,6.989971912e+03,1.037716661e-01,-1.247630332e-05,7.690096124e-04,5.359350653e-07,1.093414720e+00,0.000000000e+00,0.000000000e+00,3.326218193e-02,4.287500000e-05,7.492678165e+03,1.659410217e-01,4.515265779e+04,1030301,-1.258961478e-05,8.166705745e-05,1.061977069e-01,7.981636378e-09,4.978322085e+01,True,True,False,7.485936565e-18,-2.359288620e-17,1.640453471e-06,1.640453471e-06,7.485936565e-18,-2.359288620e-17,3.326382238e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
4,0.000000000e+00,0.000000000e+00,2.854702970e-02,5.889584406e+03,9.768921342e-02,-9.361335401e-06,9.420185025e-05,3.768095573e-07,7.687668587e-01,-8.575000000e-05,-8.575000000e-05,2.854702970e-02,1.212688130e-04,5.872416427e+03,1.406021863e-01,4.176618147e+04,1030301,-9.433281375e-06,7.759596738e-05,8.237202048e-01,6.623928710e-09,8.907884102e+00,True,True,False,2.927244196e-06,2.927244196e-06,7.997337869e-07,4.216288806e-06,-8.282275580e-05,-8.282275580e-05,2.854782944e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
5,0.000000000e+00,0.000000000e+00,2.387475248e-02,8.589222624e+03,1.730698223e-01,-5.537909851e-06,3.407385843e-04,1.309223649e-07,2.671078089e-01,1.500625000e-04,-6.431250000e-05,2.383187748e-02,1.687990438e-04,7.530972581e+03,2.116866419e-01,3.557604066e+04,1030301,-5.598341185e-06,1.514140266e-04,4.443700643e-01,4.911639326e-09,2.927121803e+01,True,True,False,2.881019790e-06,3.108079157e-07,2.101508716e-06,3.579555206e-06,1.529435198e-04,-6.400169208e-05,2.383397898e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
6,2.970297030e-03,-2.970297030e-03,6.884653465e-03,2.186581083e+03,8.018096991e-02,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01,2.648734530e-03,-2.648734530e-03,6.927528465e-03,4.567747239e-04,3.945439901e+03,2.067392600e-01,1.908413478e+04,1030301,-2.303256796e-06,2.245250662e-04,3.542277683e+00,5.075530024e-09,5.835491041e+01,True,True,False,-1.230710752e-06,1.230710752e-06,-1.884988047e-06,2.565634005e-06,2.647503819e-03,-2.647503819e-03,6.925643477e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
7,-2.970297030e-03,2.970297030e-03,6.884653465e-03,2.186581083e+03,8.018096991e-02,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01,-2.648734530e-03,2.648734530e-03,6.927528465e-03,4.567747239e-04,3.945439901e+03,2.067392600e-01,1.908413478e+04,1030301,-2.303256796e-06,2.245250662e-04,3.542277683e+00,5.075530024e-09,5.835491041e+01,True,True,False,1.230710752e-06,-1.230710752e-06,-1.884988047e-06,2.565634005e-06,-2.647503819e-03,2.647503819e-03,6.925643477e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
8,2.970297030e-03,2.970297030e-03,6.884653465e-03,2.186581083e+03,8.018096991e-02,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01,2.648734530e-03,2.648734530e-03,6.927528465e-03,4.567747239e-04,3.945439901e+03,2.067392600e-01,1.908413478e+04,1030301,-2.303256796e-06,2.245250662e-04,3.542277683e+00,5.075530024e-09,5.835491041e+01,True,True,False,-1.230710752e-06,-1.230710752e-06,-1.884988047e-06,2.565634005e-06,2.647503819e-03,2.647503819e-03,6.925643477e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
9,-2.970297030e-03,-2.970297030e-03,6.884653465e-03,2.186581083e+03,8.018096991e-02,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01,-2.648734530e-03,-2.648734530e-03,6.927528465e-03,4.567747239e-04,3.945439901e+03,2.067392600e-01,1.908413478e+04,1030301,-2.303256796e-06,2.245250662e-04,3.542277683e+00,5.075530024e-09,5.835491041e+01,True,True,False,1.230710752e-06,1.230710752e-06,-1.884988047e-06,2.565634005e-06,-2.647503819e-03,-2.647503819e-03,6.925643477e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
10,-1.534653465e-02,-3.960396040e-03,4.973267327e-03,4.902997560e+03,1.991308739e-01,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01,-1.536797215e-02,-4.067583540e-03,4.801767327e-03,2.033739820e-04,3.252846374e+03,2.009459048e-01,1.618767188e+04,1030301,-1.029669632e-06,3.482615301e-04,2.781049712e+00,3.834661202e-09,2.279877920e+01,True,True,False,-1.240173915e-06,-5.903608434e-07,6.836485488e-06,6.973097669e-06,-1.536921233e-02,-4.068173900e-03,4.808603812e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
