index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
0,0.000000000,0.000000000,0.002000000,6.348295916e+04,-3.637567453e-06,6.429283295e-03,7.401610141e-01,False
1,0.000000000,0.000000000,0.002212376,5.491783691e+04,-5.002994449e-06,4.731567330e-03,2.800090974e+00,False
2,0.000000000,0.000000000,0.002424752,4.682860693e+04,-5.647312388e-06,2.775210444e-03,2.737464039e+00,False
3,0.000000000,0.000000000,0.002637129,3.921595443e+04,-6.181771955e-06,1.783934870e-03,2.432666733e+00,False
4,0.000000000,0.000000000,0.002849505,3.226081578e+04,-6.405043140e-06,3.531898903e-04,2.066304071e+00,True
5,0.000000000,0.000000000,0.003061881,2.623348671e+04,-6.331790235e-06,1.341936639e-03,1.938390111e+00,False
6,0.000000000,0.000000000,0.003274257,2.163535576e+04,-5.835052231e-06,3.235650645e-03,1.724496578e+00,False
7,0.000000000,0.000000000,0.003486634,1.908697873e+04,-4.957439615e-06,4.583560151e-03,1.359185421e+00,False
8,0.000000000,0.000000000,0.003699010,1.876068852e+04,-3.888173711e-06,5.354890468e-03,1.020449315e+00,False
9,0.000000000,0.000000000,0.003911386,2.019161290e+04,-2.682936634e-06,5.581753255e-03,-3.105921143e-01,False
10,0.000000000,0.000000000,0.004123762,2.246049974e+04,-1.517310200e-06,5.222965698e-03,-2.301771903e+00,False
11,0.000000000,0.000000000,0.004336139,2.491448713e+04,-4.644690252e-07,4.604069942e-03,-3.420251138e+00,False
12,0.000000000,0.000000000,0.004548515,2.711836561e+04,4.382799037e-07,3.770205561e-03,-4.288002014e+00,False
13,0.000000000,0.000000000,0.004760891,2.888452295e+04,1.136935119e-06,2.782730472e-03,-4.865456311e+00,False
14,0.000000000,0.000000000,0.004973267,3.009602375e+04,1.620251560e-06,1.703590950e-03,-5.243775308e+00,False
15,0.000000000,0.000000000,0.005185644,3.069880116e+04,1.860539592e-06,5.554239304e-04,-5.304372637e+00,False
16,0.000000000,0.000000000,0.005398020,3.067516693e+04,1.856169249e-06,5.494544575e-04,-4.802344928e+00,False
17,0.000000000,0.000000000,0.005610396,3.004564528e+04,1.627157451e-06,1.484383965e-03,-3.700395048e+00,False
18,0.000000000,0.000000000,0.005822772,2.888438128e+04,1.225673486e-06,2.121206414e-03,-2.211902621e+00,False
19,0.000000000,0.000000000,0.006035149,2.731759923e+04,7.261697764e-07,2.423895078e-03,-6.620834705e-01,False
20,0.000000000,0.000000000,0.006247525,2.548765671e+04,1.961180517e-07,2.400214104e-03,-5.480652961e-01,False
21,0.000000000,0.000000000,0.006459901,2.357099122e+04,-2.933271052e-07,2.074267886e-03,-4.389096080e-01,False
22,0.000000000,0.000000000,0.006672277,2.176041278e+04,-6.849323671e-07,1.559623850e-03,-3.436564630e-01,False
23,0.000000000,0.000000000,0.006884653,2.023001520e+04,-9.557811959e-07,9.684391564e-04,-2.745350996e-01,False
24,0.000000000,0.000000000,0.007097030,1.921379432e+04,-1.096279296e-06,3.332417763e-04,-1.951228003e-01,False
25,0.000000000,0.000000000,0.007309406,1.881212705e+04,-1.097326465e-06,3.648498110e-04,-1.089611146e-01,True
