index_z,x,y,z,p_abs,U,grad_norm,lambda_min_conf,potential_minimum_1d
0,0.000000000,0.000000000,0.002000000,6.348252215e+04,-3.639203572e-06,6.429394445e-03,7.416801102e-01,False
1,0.000000000,0.000000000,0.002212376,5.491716145e+04,-5.004654174e-06,4.731407236e-03,2.801462178e+00,False
2,0.000000000,0.000000000,0.002424752,4.682777671e+04,-5.648880506e-06,2.774486394e-03,2.738528207e+00,False
3,0.000000000,0.000000000,0.002637129,3.921519793e+04,-6.183124137e-06,1.782820247e-03,2.433405573e+00,False
4,0.000000000,0.000000000,0.002849505,3.226047498e+04,-6.406137819e-06,3.519884660e-04,2.066791463e+00,True
5,0.000000000,0.000000000,0.003061881,2.623403822e+04,-6.332632110e-06,1.343109593e-03,1.938707478e+00,False
6,0.000000000,0.000000000,0.003274257,2.163743746e+04,-5.835648695e-06,3.236798262e-03,1.724696069e+00,False
7,0.000000000,0.000000000,0.003486634,1.909110561e+04,-4.957794036e-06,4.584720245e-03,1.359278417e+00,False
8,0.000000000,0.000000000,0.003699010,1.876677187e+04,-3.888277423e-06,5.356101283e-03,1.020411867e+00,False
9,0.000000000,0.000000000,0.003911386,2.019901281e+04,-2.682776758e-06,5.582944813e-03,-3.109022148e-01,False
10,0.000000000,0.000000000,0.004123762,2.246859095e+04,-1.516907795e-06,5.224044798e-03,-2.302384438e+00,False
11,0.000000000,0.000000000,0.004336139,2.492291369e+04,-4.638507996e-07,4.605001324e-03,-3.421092394e+00,False
12,0.000000000,0.000000000,0.004548515,2.712694679e+04,4.390779161e-07,3.770927336e-03,-4.289069963e+00,False
13,0.000000000,0.000000000,0.004760891,2.889315876e+04,1.137859920e-06,2.783208241e-03,-4.866480865e+00,False
14,0.000000000,0.000000000,0.004973267,3.010466115e+04,1.621252505e-06,1.703877542e-03,-5.244520281e+00,False
15,0.000000000,0.000000000,0.005185644,3.070743970e+04,1.861586124e-06,5.555852697e-04,-5.304872659e+00,False
16,0.000000000,0.000000000,0.005398020,3.068381214e+04,1.857238724e-06,5.493802504e-04,-4.802678178e+00,False
17,0.000000000,0.000000000,0.005610396,3.005429356e+04,1.628235503e-06,1.484364174e-03,-3.700680148e+00,False
18,0.000000000,0.000000000,0.005822772,2.889302944e+04,1.226751367e-06,2.121253303e-03,-2.212305940e+00,False
19,0.000000000,0.000000000,0.006035149,2.732618014e+04,7.272279114e-07,2.424046598e-03,-6.624192568e-01,False
20,0.000000000,0.000000000,0.006247525,2.549602245e+04,1.971315742e-07,2.400520698e-03,-5.483684218e-01,False
21,0.000000000,0.000000000,0.006459901,2.357888138e+04,-2.923991968e-07,2.074822324e-03,-4.391578720e-01,False
22,0.000000000,0.000000000,0.006672277,2.176742006e+04,-6.841543437e-07,1.560434378e-03,-3.438023081e-01,False
23,0.000000000,0.000000000,0.006884653,2.023559742e+04,-9.551975614e-07,9.694128694e-04,-2.745578660e-01,False
