rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,0.000000000,0.000000000,0.042563861,5.109518021e+03,6.919928791e-02,7.383772544e+04,5616,-1.576775706e-05,2.372045022e-03,6.872995383e-07,1.402228518e+00
2,full_grid,0.000000000,0.000000000,0.037891584,6.395255839e+03,8.843929422e-02,7.231237987e+04,6353,-1.463612177e-05,1.712908827e-03,6.387030535e-07,1.303081861e+00
3,full_grid,0.000000000,0.000000000,0.033219307,6.989971912e+03,1.037716661e-01,6.735915662e+04,6353,-1.247630332e-05,7.690096124e-04,5.359350653e-07,1.093414720e+00
4,full_grid,0.000000000,0.000000000,0.028547030,5.889584406e+03,9.768921342e-02,6.028899404e+04,6353,-9.361335401e-06,9.420185025e-05,3.768095573e-07,7.687668587e-01
5,full_grid,0.000000000,0.000000000,0.023874752,8.589222624e+03,1.730698223e-01,4.962865569e+04,6353,-5.537909851e-06,3.407385843e-04,1.309223649e-07,2.671078089e-01
6,full_grid,-0.016831683,-0.012871287,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
7,full_grid,0.016831683,-0.012871287,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
8,full_grid,-0.012871287,-0.016831683,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
9,full_grid,-0.012871287,0.016831683,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
10,full_grid,0.012871287,0.016831683,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
11,full_grid,0.012871287,-0.016831683,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
12,full_grid,-0.016831683,0.012871287,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
13,full_grid,0.016831683,0.012871287,0.004336139,4.071263133e+03,1.583792783e-01,2.570578157e+04,5616,-8.367539070e-07,2.025115811e-04,2.573872760e-08,1.985125139e-01
14,full_grid,-0.015346535,-0.003960396,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
15,full_grid,0.015346535,-0.003960396,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
16,full_grid,-0.003960396,-0.015346535,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
17,full_grid,-0.003960396,0.015346535,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
18,full_grid,-0.015346535,0.003960396,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
19,full_grid,0.015346535,0.003960396,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
20,full_grid,0.003960396,-0.015346535,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
21,full_grid,0.003960396,0.015346535,0.004973267,4.902997560e+03,1.991308739e-01,2.462198585e+04,6019,-9.768639483e-07,1.252266468e-04,4.473881687e-08,1.821524365e-01
22,full_grid,-0.002970297,-0.002970297,0.006884653,2.186581083e+03,8.018096991e-02,2.727057413e+04,6353,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01
23,full_grid,0.002970297,-0.002970297,0.006884653,2.186581083e+03,8.018096991e-02,2.727057413e+04,6353,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01
24,full_grid,-0.002970297,0.002970297,0.006884653,2.186581083e+03,8.018096991e-02,2.727057413e+04,6353,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01
25,full_grid,0.002970297,0.002970297,0.006884653,2.186581083e+03,8.018096991e-02,2.727057413e+04,6353,-2.224817398e-06,6.338437761e-05,5.996373937e-08,1.513167917e-01
26,full_grid,0.016336634,0.021287129,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
27,full_grid,-0.016336634,0.021287129,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
28,full_grid,0.021287129,-0.016336634,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
29,full_grid,0.021287129,0.016336634,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
30,full_grid,-0.021287129,-0.016336634,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
31,full_grid,-0.021287129,0.016336634,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
32,full_grid,0.016336634,-0.021287129,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
33,full_grid,-0.016336634,-0.021287129,0.006035149,4.266451723e+03,1.798227195e-01,2.372587699e+04,6348,-7.499764136e-07,2.858150694e-05,2.356300124e-08,9.087025509e-02
34,full_grid,0.013366337,0.016336634,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
35,full_grid,0.016336634,0.013366337,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
36,full_grid,-0.016336634,0.013366337,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
37,full_grid,0.013366337,-0.016336634,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
38,full_grid,0.016336634,-0.013366337,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
39,full_grid,-0.016336634,-0.013366337,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
40,full_grid,-0.013366337,0.016336634,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
41,full_grid,-0.013366337,-0.016336634,0.002212376,3.439393984e+03,1.289988847e-01,2.666219937e+04,3538,-5.242092102e-07,6.678062675e-05,1.423274658e-09,8.672232698e-02
42,full_grid,-0.018316832,0.021782178,0.008583663,6.064832809e+03,2.666180226e-01,2.274727249e+04,6353,-6.276669694e-07,3.279825378e-05,7.012848945e-09,8.185994828e-02
43,full_grid,0.018316832,0.021782178,0.008583663,6.064832809e+03,2.666180226e-01,2.274727249e+04,6353,-6.276669694e-07,3.279825378e-05,7.012848945e-09,8.185994828e-02
