rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,0.043564356,-0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
2,full_grid,0.043564356,0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
3,full_grid,-0.043564356,-0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
4,full_grid,-0.043564356,0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
5,full_grid,0.015346535,-0.043564356,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
6,full_grid,0.015346535,0.043564356,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
7,full_grid,-0.015346535,-0.043564356,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
8,full_grid,-0.015346535,0.043564356,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
9,full_grid,-0.044059406,-0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
10,full_grid,-0.026732673,-0.044059406,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
11,full_grid,-0.026732673,0.044059406,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
12,full_grid,0.044059406,-0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
13,full_grid,-0.044059406,0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
