rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,-0.049009901,0.000000000,0.015804455,2.582773248e+03,2.107608343e-01,1.225452184e+04,4513,-1.933799393e-07,2.203107259e-06,1.768303977e-09,3.607693774e-03
2,full_grid,-0.048514851,-0.033663366,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
3,full_grid,-0.048514851,0.033663366,0.007734158,3.436804901e+02,1.213470331e-01,2.832211726e+03,4994,-9.010711873e-09,1.421052650e-07,2.476353128e-11,3.463945307e-04
4,full_grid,-0.046039604,-0.032178218,0.009008416,6.665807590e+02,2.277022985e-01,2.927422180e+03,6353,-9.267179978e-09,2.266414120e-07,1.272199679e-10,2.026959695e-04
5,full_grid,-0.046039604,0.032178218,0.009008416,6.665807590e+02,2.277022985e-01,2.927422180e+03,6353,-9.267179978e-09,2.266414120e-07,1.272199679e-10,2.026959695e-04
6,full_grid,-0.045544554,-0.013861386,0.042139109,3.821748145e+02,5.299443114e-02,7.211603301e+03,5898,-9.372530719e-08,2.246614916e-06,2.791294650e-11,6.516881085e-04
7,full_grid,-0.045544554,0.013861386,0.042139109,3.821748145e+02,5.299443114e-02,7.211603301e+03,5898,-9.372530719e-08,2.246614916e-06,2.791294650e-11,6.516881085e-04
8,full_grid,-0.044554455,-0.013366337,0.036404950,8.986594532e+02,1.318002874e-01,6.818342134e+03,6353,-7.782224614e-08,3.223998932e-06,2.170107550e-10,1.029281768e-03
9,full_grid,-0.044554455,0.013366337,0.036404950,8.986594532e+02,1.318002874e-01,6.818342134e+03,6353,-7.782224614e-08,3.223998932e-06,2.170107550e-10,1.029281768e-03
10,full_grid,-0.044059406,-0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
11,full_grid,-0.044059406,-0.012871287,0.030670792,1.350175455e+03,2.347772351e-01,5.750878930e+03,6353,-5.344044050e-08,2.966623801e-06,2.085953768e-10,9.400087246e-04
12,full_grid,-0.044059406,0.012871287,0.030670792,1.350175455e+03,2.347772351e-01,5.750878930e+03,6353,-5.344044050e-08,2.966623801e-06,2.085953768e-10,9.400087246e-04
13,full_grid,-0.044059406,0.026732673,0.042351485,1.511834745e+02,3.097368719e-02,4.881029294e+03,5761,-4.723783401e-08,1.494534841e-06,-5.354306024e-10,3.799111344e-04
14,full_grid,-0.043564356,-0.031188119,0.009857921,7.296410711e+02,2.540672528e-01,2.871842250e+03,6353,-9.200978670e-09,4.022861262e-07,6.460810012e-11,2.433429729e-04
15,full_grid,-0.043564356,-0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
16,full_grid,-0.043564356,0.015346535,0.016441584,1.001860699e+02,2.980017291e-02,3.361929146e+03,6353,-1.757571380e-08,3.454195930e-07,-7.058358988e-10,1.429966733e-04
17,full_grid,-0.043564356,0.031188119,0.009857921,7.296410711e+02,2.540672528e-01,2.871842250e+03,6353,-9.200978670e-09,4.022861262e-07,6.460810012e-11,2.433429729e-04
18,full_grid,-0.041584158,-0.041089109,0.042139109,1.253573108e+03,1.148639877e-01,1.091354334e+04,5898,-2.134829646e-07,1.939631979e-05,1.560523070e-10,2.600186562e-03
19,full_grid,-0.041584158,0.041089109,0.042139109,1.253573108e+03,1.148639877e-01,1.091354334e+04,5898,-2.134829646e-07,1.939631979e-05,1.560523070e-10,2.600186562e-03
20,full_grid,-0.041089109,-0.013366337,0.031307921,1.544020005e+03,2.774886590e-01,5.564263457e+03,6353,-5.255628246e-08,1.355179463e-06,-2.569664786e-10,3.963492359e-04
21,full_grid,-0.041089109,0.013366337,0.031307921,1.544020005e+03,2.774886590e-01,5.564263457e+03,6353,-5.255628246e-08,1.355179463e-06,-2.569664786e-10,3.963492359e-04
