rank,search_mode,x,y,z,p_abs,local_p_ratio,local_p_ref,local_p_sample_count,U,grad_norm,well_depth,lambda_min_conf
1,full_grid,-0.049009901,0.000000000,0.015804455,2.584236399e+03,2.108413653e-01,1.225678081e+04,4513,-1.934114411e-07,2.266663640e-06,1.766012325e-09,3.603018346e-03
2,full_grid,-0.048514851,-0.033663366,0.007734158,3.467615244e+02,1.225001472e-01,2.830702920e+03,4994,-8.991611096e-09,1.354225822e-07,2.705400336e-11,3.459570494e-04
3,full_grid,-0.048514851,0.033663366,0.007734158,3.467615244e+02,1.225001472e-01,2.830702920e+03,4994,-8.991611096e-09,1.354225822e-07,2.705400336e-11,3.459570494e-04
4,full_grid,-0.046039604,-0.032178218,0.009008416,6.701505143e+02,2.290961333e-01,2.925193475e+03,6353,-9.241659300e-09,2.318726087e-07,1.271272008e-10,2.022361234e-04
5,full_grid,-0.046039604,0.032178218,0.009008416,6.701505143e+02,2.290961333e-01,2.925193475e+03,6353,-9.241659300e-09,2.318726087e-07,1.271272008e-10,2.022361234e-04
6,full_grid,-0.045544554,-0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649478e-11,6.522564680e-04
7,full_grid,-0.045544554,0.013861386,0.042139109,3.809449819e+02,5.281029036e-02,7.213461227e+03,5898,-9.375134299e-08,2.221400992e-06,4.166649477e-11,6.522564680e-04
8,full_grid,-0.044554455,-0.013366337,0.036404950,8.978233387e+02,1.316902801e-01,6.817688734e+03,6353,-7.783389904e-08,3.226421626e-06,1.987119682e-10,1.029533373e-03
9,full_grid,-0.044554455,0.013366337,0.036404950,8.978233387e+02,1.316902801e-01,6.817688734e+03,6353,-7.783389904e-08,3.226421626e-06,1.987119682e-10,1.029533373e-03
10,full_grid,-0.044059406,-0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
11,full_grid,-0.044059406,-0.012871287,0.030670792,1.350965116e+03,2.348544304e-01,5.752350995e+03,6353,-5.345470763e-08,2.962661933e-06,2.036967462e-10,9.402529477e-04
12,full_grid,-0.044059406,0.012871287,0.030670792,1.350965116e+03,2.348544304e-01,5.752350995e+03,6353,-5.345470763e-08,2.962661933e-06,2.036967462e-10,9.402529477e-04
13,full_grid,-0.044059406,0.026732673,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
14,full_grid,-0.043564356,-0.031188119,0.009857921,7.339317539e+02,2.557878109e-01,2.869299171e+03,6353,-9.172077937e-09,3.971371847e-07,6.177903867e-11,2.416964066e-04
15,full_grid,-0.043564356,-0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
16,full_grid,-0.043564356,0.015346535,0.016441584,9.947987210e+01,2.960606734e-02,3.360117740e+03,6353,-1.756108720e-08,3.512597025e-07,-7.076753875e-10,1.428907194e-04
17,full_grid,-0.043564356,0.031188119,0.009857921,7.339317539e+02,2.557878109e-01,2.869299171e+03,6353,-9.172077937e-09,3.971371847e-07,6.177903867e-11,2.416964066e-04
18,full_grid,-0.041584158,0.041089109,0.042139109,1.254662182e+03,1.149949470e-01,1.091058533e+04,5898,-2.133772310e-07,1.940813388e-05,1.628615809e-10,2.597651067e-03
19,full_grid,-0.041089109,-0.041584158,0.042139109,1.254662182e+03,1.149949470e-01,1.091058533e+04,5898,-2.133772310e-07,1.940813388e-05,1.628615809e-10,2.597651067e-03
20,full_grid,-0.041089109,-0.013366337,0.031307921,1.545930031e+03,2.777788407e-01,5.565326814e+03,6353,-5.257195156e-08,1.311644184e-06,-2.591125778e-10,3.961985694e-04
21,full_grid,-0.041089109,0.013366337,0.031307921,1.545930031e+03,2.777788407e-01,5.565326814e+03,6353,-5.257195156e-08,1.311644184e-06,-2.591125778e-10,3.961985694e-04
22,full_grid,-0.040099010,-0.040099010,0.005185644,1.240897401e+03,2.756268410e-01,4.502092019e+03,6120,-1.629128224e-08,9.463580232e-07,1.305147896e-10,1.023358590e-03
23,full_grid,-0.040099010,-0.040099010,0.036829703,3.324436605e+03,3.143052041e-01,1.057709692e+04,6353,-1.951398824e-07,4.144802280e-06,1.212319470e-09,1.007863563e-03
24,full_grid,-0.040099010,0.040099010,0.005185644,1.240897401e+03,2.756268410e-01,4.502092019e+03,6120,-1.629128224e-08,9.463580232e-07,1.305147896e-10,1.023358590e-03
25,full_grid,-0.040099010,0.040099010,0.036829703,3.324436605e+03,3.143052041e-01,1.057709692e+04,6353,-1.951398824e-07,4.144802280e-06,1.212319470e-09,1.007863563e-03
26,full_grid,-0.039108911,-0.039108911,0.031520297,5.532553533e+03,5.420160067e-01,1.020736189e+04,6353,-1.527683506e-07,5.604327999e-06,9.974148307e-10,3.356904376e-03
27,full_grid,-0.039108911,0.000000000,0.013893069,1.900844479e+03,1.526053853e-01,1.245594626e+04,6353,-2.018741065e-07,6.601150045e-06,3.742409488e-09,7.821428201e-03
28,full_grid,-0.039108911,0.000000000,0.037466832,5.873848376e+03,1.995196842e-01,2.943994422e+04,6353,-1.865847772e-06,1.132427614e-04,1.862346619e-08,3.557576965e-02
29,full_grid,-0.039108911,0.000000000,0.042563861,2.645623172e+03,8.776267283e-02,3.014519825e+04,5616,-2.055110694e-06,2.281122606e-04,1.367549215e-08,3.441932012e-02
30,full_grid,-0.039108911,0.039108911,0.031520297,5.532553533e+03,5.420160067e-01,1.020736189e+04,6353,-1.527683506e-07,5.604327999e-06,9.974148307e-10,3.356904376e-03
31,full_grid,-0.038613861,0.000000000,0.032369802,9.348909985e+03,3.402135582e-01,2.747953384e+04,6353,-1.427274058e-06,3.239055568e-05,1.850120271e-08,2.798340822e-02
32,full_grid,-0.036138614,-0.021782178,0.003699010,1.541155572e+03,2.741093911e-01,5.622410696e+03,5085,-3.063164830e-08,1.924692445e-06,-5.928536172e-10,1.207298235e-03
33,full_grid,-0.036138614,0.021782178,0.003699010,1.541155572e+03,2.741093911e-01,5.622410696e+03,5085,-3.063164830e-08,1.924692445e-06,-5.928536172e-10,1.207298235e-03
34,full_grid,-0.035148515,-0.035148515,0.009645545,3.860710358e+03,6.481767805e-01,5.956261430e+03,6353,-2.638194003e-08,6.460396622e-07,2.935860595e-10,1.225145064e-03
35,full_grid,-0.035148515,0.035148515,0.009645545,3.860710358e+03,6.481767805e-01,5.956261430e+03,6353,-2.638194003e-08,6.460396622e-07,2.935860595e-10,1.225145064e-03
36,full_grid,-0.034653465,-0.020297030,0.004548515,1.909347854e+03,3.104921465e-01,6.149423988e+03,5761,-3.250984526e-08,1.704604810e-06,5.573479073e-10,1.205728042e-03
37,full_grid,-0.034653465,0.020297030,0.004548515,1.909347854e+03,3.104921465e-01,6.149423988e+03,5761,-3.250984526e-08,1.704604810e-06,5.573479073e-10,1.205728042e-03
38,full_grid,-0.034158416,0.000000000,0.003061881,4.560870852e+03,3.795543647e-01,1.201638363e+04,4458,-1.288887096e-07,1.780369904e-06,1.398807997e-09,2.853848076e-03
39,full_grid,-0.034158416,0.000000000,0.009645545,3.039254181e+03,2.379401240e-01,1.277318903e+04,6353,-2.798621817e-07,3.543006004e-05,8.619896811e-09,1.863439732e-02
40,full_grid,-0.033663366,-0.048514851,0.007734158,3.467615244e+02,1.225001472e-01,2.830702920e+03,4994,-8.991611096e-09,1.354225822e-07,2.705400336e-11,3.459570494e-04
41,full_grid,-0.033663366,-0.033663366,0.003061881,2.703545455e+03,7.484772550e-01,3.612060937e+03,4458,-8.686076415e-09,2.521624225e-07,-1.076668827e-10,2.722783435e-04
42,full_grid,-0.033663366,0.033663366,0.003061881,2.703545455e+03,7.484772550e-01,3.612060937e+03,4458,-8.686076415e-09,2.521624225e-07,-1.076668827e-10,2.722783435e-04
43,full_grid,-0.033663366,0.048514851,0.007734158,3.467615244e+02,1.225001472e-01,2.830702920e+03,4994,-8.991611096e-09,1.354225822e-07,2.705400336e-11,3.459570494e-04
44,full_grid,-0.033168317,-0.033168317,0.003699010,2.870754484e+03,7.759805328e-01,3.699518690e+03,5085,-8.818631096e-09,1.366097184e-06,1.361196200e-10,3.878841047e-04
45,full_grid,-0.033168317,0.033168317,0.003699010,2.870754484e+03,7.759805328e-01,3.699518690e+03,5085,-8.818631096e-09,1.366097184e-06,1.361196200e-10,3.878841047e-04
46,full_grid,-0.032178218,-0.046039604,0.009008416,6.701505143e+02,2.290961333e-01,2.925193475e+03,6353,-9.241659300e-09,2.318726087e-07,1.271272008e-10,2.022361234e-04
47,full_grid,-0.032178218,-0.032178218,0.004336139,2.979487288e+03,7.688904438e-01,3.875047885e+03,5616,-8.843108282e-09,3.764115863e-07,-6.208276990e-11,1.975425155e-04
48,full_grid,-0.032178218,0.032178218,0.004336139,2.979487288e+03,7.688904438e-01,3.875047885e+03,5616,-8.843108282e-09,3.764115863e-07,-6.208276990e-11,1.975425155e-04
49,full_grid,-0.032178218,0.046039604,0.009008416,6.701505143e+02,2.290961333e-01,2.925193475e+03,6353,-9.241659300e-09,2.318726087e-07,1.271272008e-10,2.022361234e-04
50,full_grid,-0.031683168,-0.032178218,0.028759406,8.676008029e+03,7.532740265e-01,1.151773156e+04,6353,-1.418611415e-07,1.773775664e-06,6.119893191e-10,2.501423469e-03
51,full_grid,-0.031683168,-0.031188119,0.023874752,1.037647780e+04,8.266757029e-01,1.255205368e+04,6353,-1.706348362e-07,5.018974029e-06,1.195968905e-09,6.879608276e-03
52,full_grid,-0.031683168,0.032178218,0.028759406,8.676008029e+03,7.532740265e-01,1.151773156e+04,6353,-1.418611415e-07,1.773775664e-06,6.119893191e-10,2.501423469e-03
53,full_grid,-0.031188119,-0.043564356,0.009857921,7.339317539e+02,2.557878109e-01,2.869299171e+03,6353,-9.172077937e-09,3.971371847e-07,6.177903867e-11,2.416964066e-04
54,full_grid,-0.031188119,0.031683168,0.023874752,1.037647780e+04,8.266757029e-01,1.255205368e+04,6353,-1.706348362e-07,5.018974029e-06,1.195968905e-09,6.879608276e-03
55,full_grid,-0.031188119,0.043564356,0.009857921,7.339317539e+02,2.557878109e-01,2.869299171e+03,6353,-9.172077937e-09,3.971371847e-07,6.177903867e-11,2.416964066e-04
56,full_grid,-0.030693069,0.000000000,0.028971782,1.254501414e+04,5.134831917e-01,2.443120698e+04,6353,-1.217270892e-06,8.148773763e-05,1.476345050e-08,4.519008625e-02
57,full_grid,-0.030198020,0.000000000,0.024087129,1.193964683e+04,4.941102924e-01,2.416393062e+04,6353,-1.154284037e-06,5.103561018e-05,1.805021931e-08,3.682605744e-02
58,full_grid,-0.029702970,-0.001980198,0.005822772,6.925640683e+03,5.782066578e-01,1.197779477e+04,6323,-1.442141697e-07,9.102097308e-06,6.640326634e-09,1.484597890e-02
59,full_grid,-0.029702970,0.001980198,0.005822772,6.925640683e+03,5.782066578e-01,1.197779477e+04,6323,-1.442141697e-07,9.102097308e-06,6.640326634e-09,1.484597890e-02
60,full_grid,-0.028712871,-0.010891089,0.042563861,2.907972103e+02,8.469582267e-02,3.433430376e+03,5616,-2.803731652e-08,9.506944173e-07,4.134100795e-11,1.226790143e-03
61,full_grid,-0.028712871,0.000000000,0.019414851,1.133272996e+04,5.109124545e-01,2.218135389e+04,6353,-7.898213847e-07,2.232689787e-05,8.096685018e-09,1.741678429e-02
62,full_grid,-0.028712871,0.010891089,0.042563861,2.907972103e+02,8.469582267e-02,3.433430376e+03,5616,-2.803731652e-08,9.506944173e-07,4.134100795e-11,1.226790143e-03
63,full_grid,-0.028217822,-0.004455446,0.014954950,8.476374535e+03,4.853055619e-01,1.746605685e+04,6353,-3.742665390e-07,3.027433730e-05,4.897391418e-09,1.495151873e-02
64,full_grid,-0.028217822,0.004455446,0.014954950,8.476374535e+03,4.853055619e-01,1.746605685e+04,6353,-3.742665390e-07,3.027433730e-05,4.897391418e-09,1.495151873e-02
65,full_grid,-0.027722772,0.000000000,0.014742574,9.045580502e+03,5.046664653e-01,1.792387869e+04,6353,-3.836833600e-07,1.756698185e-05,4.389283554e-09,8.955016306e-03
66,full_grid,-0.027227723,-0.027227723,0.020689109,1.324628914e+04,8.623234802e-01,1.536116022e+04,6353,-1.677010181e-07,2.593657628e-06,2.573965525e-09,3.449588349e-03
67,full_grid,-0.027227723,0.027227723,0.020689109,1.324628914e+04,8.623234802e-01,1.536116022e+04,6353,-1.677010181e-07,2.593657628e-06,2.573965525e-09,3.449588349e-03
68,full_grid,-0.026732673,-0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
69,full_grid,-0.026732673,0.044059406,0.042351485,1.512472460e+02,3.100547103e-02,4.878082511e+03,5761,-4.718414475e-08,1.491672295e-06,-5.422548691e-10,3.768856579e-04
70,full_grid,-0.026237624,-0.026237624,0.015592079,1.534164292e+04,9.064931340e-01,1.692416891e+04,6353,-2.033615102e-07,1.557593000e-06,3.954425688e-09,5.965133658e-03
71,full_grid,-0.026237624,0.026237624,0.015592079,1.534164292e+04,9.064931340e-01,1.692416891e+04,6353,-2.033615102e-07,1.557593000e-06,3.954425688e-09,5.965133659e-03
72,full_grid,-0.022772277,-0.022772277,0.009220792,1.758293654e+04,8.031187230e-01,2.189332167e+04,6353,-4.413902991e-07,1.695985013e-05,1.123532086e-08,3.322932036e-02
73,full_grid,-0.022772277,0.000000000,0.042563861,6.700977802e+02,5.982924560e-02,1.120017098e+04,5616,-3.747943799e-07,3.208731421e-05,1.367699356e-08,3.132271733e-02
74,full_grid,-0.022772277,0.022772277,0.009220792,1.758293654e+04,8.031187230e-01,2.189332167e+04,6353,-4.413902991e-07,1.695985013e-05,1.123532086e-08,3.322932036e-02
75,full_grid,-0.022277228,-0.021782178,0.019414851,5.955753039e+03,4.413926244e-01,1.349309596e+04,6353,-1.077133392e-07,1.408902416e-05,1.319588339e-09,2.004785724e-03
76,full_grid,-0.021782178,-0.036138614,0.003699010,1.541155572e+03,2.741093911e-01,5.622410696e+03,5085,-3.063164830e-08,1.924692445e-06,-5.928536172e-10,1.207298235e-03
