rank,coarse_x,coarse_y,coarse_z,coarse_p_abs,coarse_local_p_ratio,coarse_U,coarse_grad_norm,coarse_well_depth,coarse_lambda_min_conf,refined_x,refined_y,refined_z,refined_distance_from_coarse,refined_p_abs,refined_box_p_ratio,refined_box_p_ref,refined_box_p_sample_count,refined_U,refined_grad_norm,refined_grad_ratio_to_coarse,refined_box_well_depth,refined_lambda_min_conf,refined_local_minimum_26,refined_hessian_positive,refined_minimum_on_edge,newton_dx,newton_dy,newton_dz,newton_offset_norm,newton_x,newton_y,newton_z,newton_in_refine_box,refine_validation_pass,refine_validation_reason,local_refine_radius,local_refine_grid_size,local_refine_dx,local_refine_dy,local_refine_dz
1,0.000000000e+00,0.000000000e+00,4.256386139e-02,5.109771178e+03,6.920270114e-02,-1.576775533e-05,2.372053450e-03,6.873014717e-07,1.402232395e+00,0.000000000e+00,0.000000000e+00,4.264961139e-02,8.575000000e-05,2.336531321e+03,4.535162622e-02,5.152034262e+04,1030301,-1.598866460e-05,1.791749266e-04,7.553578804e-02,1.862362049e-09,6.307333337e+00,True,True,False,2.145287518e-16,-3.705346673e-16,4.701171085e-06,4.701171085e-06,2.145287518e-16,-3.705346673e-16,4.265431256e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
2,0.000000000e+00,0.000000000e+00,3.789158416e-02,6.396586860e+03,8.845776328e-02,-1.463599057e-05,1.712883215e-03,6.386996708e-07,1.303075068e+00,0.000000000e+00,-2.143750000e-05,3.795589666e-02,6.779132734e-05,6.034664290e+03,1.235208437e-01,4.885543289e+04,1030301,-1.480015973e-05,1.430068220e-04,8.348895053e-02,1.016439537e-20,1.753971705e+01,True,True,False,2.142537172e-17,-8.005165854e-06,1.349737922e-06,8.118156984e-06,2.142537172e-17,-2.944266585e-05,3.795724640e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
3,0.000000000e+00,0.000000000e+00,3.321930693e-02,6.991872175e+03,1.038006111e-01,-1.247583573e-05,7.687357188e-04,5.359158254e-07,1.093375467e+00,0.000000000e+00,0.000000000e+00,3.326218193e-02,4.287500000e-05,7.494719416e+03,1.659887464e-01,4.515197313e+04,1030301,-1.258912207e-05,8.239007747e-05,1.071760755e-01,7.978961656e-09,4.975782275e+01,True,True,False,1.789303939e-18,-1.023313389e-16,1.655821596e-06,1.655821596e-06,1.789303939e-18,-1.023313389e-16,3.326383775e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
4,0.000000000e+00,0.000000000e+00,2.854702970e-02,5.892269707e+03,9.773487372e-02,-9.360268201e-06,9.488242931e-05,3.767443419e-07,7.686338064e-01,-8.575000000e-05,-8.575000000e-05,2.854702970e-02,1.212688130e-04,5.875094552e+03,1.406643226e-01,4.176677102e+04,1030301,-9.432216743e-06,7.707534972e-05,8.123247927e-01,6.631931076e-09,8.924629901e+00,True,True,False,2.906398228e-06,2.906398228e-06,7.939593412e-07,4.186248052e-06,-8.284360177e-05,-8.284360177e-05,2.854782366e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
5,0.000000000e+00,0.000000000e+00,2.387475248e-02,8.595389714e+03,1.732083233e-01,-5.535992990e-06,3.415064675e-04,1.307781510e-07,2.668135837e-01,-1.500625000e-04,6.431250000e-05,2.383187748e-02,1.687990438e-04,7.537235068e+03,2.118622303e-01,3.557611499e+04,1030301,-5.596459414e-06,1.507299941e-04,4.413679049e-01,4.914636470e-09,2.930201825e+01,True,True,False,-2.872779476e-06,-3.178432523e-07,2.083762932e-06,3.563138253e-06,-1.529352795e-04,6.399465675e-05,2.383396124e-02,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
6,2.970297030e-03,2.970297030e-03,6.884653465e-03,2.186629222e+03,8.018211115e-02,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01,2.648734530e-03,2.648734530e-03,6.927528465e-03,4.567747239e-04,3.941798435e+03,2.065152978e-01,1.908719827e+04,1030301,-2.303425216e-06,2.240440290e-04,3.558639196e+00,5.062338063e-09,5.833846138e+01,True,True,False,-1.233810842e-06,-1.233810842e-06,-1.876454508e-06,2.562354368e-06,2.647500719e-03,2.647500719e-03,6.925652011e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
7,2.970297030e-03,-2.970297030e-03,6.884653465e-03,2.186629222e+03,8.018211115e-02,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01,2.648734530e-03,-2.648734530e-03,6.927528465e-03,4.567747239e-04,3.941798435e+03,2.065152978e-01,1.908719827e+04,1030301,-2.303425216e-06,2.240440290e-04,3.558639196e+00,5.062338063e-09,5.833846138e+01,True,True,False,-1.233810842e-06,1.233810842e-06,-1.876454508e-06,2.562354368e-06,2.647500719e-03,-2.647500719e-03,6.925652011e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
8,-2.970297030e-03,2.970297030e-03,6.884653465e-03,2.186629222e+03,8.018211115e-02,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01,-2.648734530e-03,2.648734530e-03,6.927528465e-03,4.567747239e-04,3.941798435e+03,2.065152978e-01,1.908719827e+04,1030301,-2.303425216e-06,2.240440290e-04,3.558639196e+00,5.062338063e-09,5.833846138e+01,True,True,False,1.233810842e-06,-1.233810842e-06,-1.876454507e-06,2.562354368e-06,-2.647500719e-03,2.647500719e-03,6.925652011e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
9,-2.970297030e-03,-2.970297030e-03,6.884653465e-03,2.186629222e+03,8.018211115e-02,-2.224896739e-06,6.295778150e-05,5.989035784e-08,1.512509608e-01,-2.648734530e-03,-2.648734530e-03,6.927528465e-03,4.567747239e-04,3.941798435e+03,2.065152978e-01,1.908719827e+04,1030301,-2.303425216e-06,2.240440289e-04,3.558639196e+00,5.062338062e-09,5.833846138e+01,True,True,False,1.233810842e-06,1.233810842e-06,-1.876454508e-06,2.562354368e-06,-2.647500719e-03,-2.647500719e-03,6.925652011e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
10,1.534653465e-02,-3.960396040e-03,4.973267327e-03,4.907332427e+03,1.993270182e-01,-9.765861055e-07,1.253398722e-04,4.473211295e-08,1.820369073e-01,1.536797215e-02,-4.067583540e-03,4.801767327e-03,2.033739820e-04,3.257530400e+03,2.011785710e-01,1.619223352e+04,1030301,-1.029432226e-06,3.478474829e-04,2.775234064e+00,3.825529654e-09,2.280318194e+01,True,True,False,1.249310631e-06,-5.879739082e-07,6.831974813e-06,6.970105466e-06,1.536922146e-02,-4.068171514e-03,4.808599302e-03,True,True,pass,1.071875000e-03,101,2.143750000e-05,2.143750000e-05,2.143750000e-05
